# Two Dipoles. Collinear case. Co-directed moments. $l=1$
# Commit: 2026-06-04-2-g5a5da60-dirty
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-06-10 04:21:57
time,d1_rx,d1_mx,d2_rx,d2_mx,sum_zeta_square
0.000000,0.000000,1.000000,1.000000,1.000000,2.000000
0.100000,0.018761,0.992797,1.018795,1.007203,2.000104
0.200000,0.037484,0.985596,1.037626,1.014404,2.000415
0.300000,0.056169,0.978396,1.056493,1.021604,2.000933
0.400000,0.074816,0.971198,1.075396,1.028802,2.001659
0.500000,0.093423,0.964005,1.094335,1.035995,2.002591
0.600000,0.111990,0.956816,1.113308,1.043184,2.003730
0.700000,0.130516,0.949632,1.132315,1.050368,2.005074
0.800000,0.149002,0.942455,1.151356,1.057545,2.006623
0.900000,0.167445,0.935285,1.170430,1.064715,2.008376
1.000000,0.185847,0.928124,1.189537,1.071876,2.010332
1.100000,0.204205,0.920971,1.208676,1.079029,2.012491
1.200000,0.222521,0.913829,1.227847,1.086171,2.014851
1.300000,0.240792,0.906698,1.247049,1.093302,2.017411
1.400000,0.259018,0.899578,1.266282,1.100422,2.020169
1.500000,0.277199,0.892472,1.285545,1.107528,2.023125
1.600000,0.295334,0.885379,1.304838,1.114621,2.026276
1.700000,0.313422,0.878300,1.324161,1.121700,2.029622
1.800000,0.331463,0.871237,1.343513,1.128763,2.033160
1.900000,0.349456,0.864191,1.362894,1.135809,2.036888
2.000000,0.367401,0.857162,1.382302,1.142838,2.040806
2.100000,0.385296,0.850151,1.401739,1.149849,2.044910
2.200000,0.403141,0.843159,1.421203,1.156841,2.049199
2.300000,0.420936,0.836186,1.440694,1.163814,2.053670
2.400000,0.438679,0.829235,1.460212,1.170765,2.058321
2.500000,0.456370,0.822305,1.479755,1.177695,2.063151
2.600000,0.474008,0.815398,1.499325,1.184602,2.068156
2.700000,0.491593,0.808514,1.518920,1.191486,2.073334
2.800000,0.509123,0.801654,1.538540,1.198346,2.078682
2.900000,0.526599,0.794820,1.558185,1.205180,2.084198
3.000000,0.544019,0.788011,1.577854,1.211989,2.089879
