# Two Dipoles from onedisk
# Commit: 2026-06-04-2-g5a5da60-dirty
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-06-10 04:21:57
time,d1_rx,d1_ry,d1_rz,d1_mx,d1_my,d1_mz,d2_rx,d2_ry,d2_rz,d2_mx,d2_my,d2_mz,sum_zeta_square
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.004200,0.140000,0.000000,-1.041000,0.083000,0.065000,2.094795
0.500000,-0.001001,0.004903,0.003800,1.000512,0.020519,0.000016,0.000351,0.144975,0.003891,-1.041512,0.062481,0.064984,2.094318
1.000000,-0.002002,0.009835,0.007601,1.000609,0.041043,0.000046,-0.003500,0.149922,0.007782,-1.041609,0.041957,0.064954,2.093832
1.500000,-0.003004,0.014797,0.011401,1.000292,0.061561,0.000089,-0.007351,0.154840,0.011673,-1.041292,0.021439,0.064911,2.093335
2.000000,-0.004006,0.019787,0.015202,0.999560,0.082067,0.000145,-0.011202,0.159730,0.015564,-1.040560,0.000933,0.064855,2.092829
2.500000,-0.005011,0.024807,0.019003,0.998415,0.102552,0.000214,-0.015053,0.164591,0.019455,-1.039415,-0.019552,0.064786,2.092314
3.000000,-0.006018,0.029855,0.022803,0.996857,0.123006,0.000297,-0.018902,0.169424,0.023346,-1.037857,-0.040006,0.064703,2.091788
3.500000,-0.007027,0.034933,0.026604,0.994886,0.143423,0.000393,-0.022750,0.174228,0.027236,-1.035886,-0.060423,0.064607,2.091254
4.000000,-0.008041,0.040039,0.030405,0.992504,0.163793,0.000502,-0.026596,0.179003,0.031127,-1.033504,-0.080793,0.064498,2.090709
4.500000,-0.009058,0.045174,0.034206,0.989711,0.184108,0.000624,-0.030439,0.183750,0.035017,-1.030711,-0.101108,0.064376,2.090156
5.000000,-0.010080,0.050338,0.038008,0.986509,0.204360,0.000759,-0.034278,0.188469,0.038907,-1.027509,-0.121360,0.064241,2.089593
5.500000,-0.011107,0.055530,0.041809,0.982899,0.224540,0.000907,-0.038113,0.193159,0.042798,-1.023899,-0.141540,0.064093,2.089021
6.000000,-0.012141,0.060751,0.045611,0.978883,0.244641,0.001068,-0.041944,0.197821,0.046687,-1.019883,-0.161641,0.063932,2.088440
6.500000,-0.013180,0.066000,0.049413,0.974463,0.264653,0.001241,-0.045770,0.202454,0.050577,-1.015463,-0.181653,0.063759,2.087850
7.000000,-0.014227,0.071277,0.053216,0.969640,0.284570,0.001427,-0.049590,0.207059,0.054466,-1.010640,-0.201570,0.063573,2.087250
7.500000,-0.015281,0.076582,0.057018,0.964417,0.304382,0.001626,-0.053404,0.211637,0.058355,-1.005417,-0.221382,0.063374,2.086642
8.000000,-0.016343,0.081915,0.060821,0.958796,0.324082,0.001838,-0.057212,0.216186,0.062244,-0.999796,-0.241082,0.063162,2.086025
8.500000,-0.017414,0.087276,0.064624,0.952780,0.343661,0.002062,-0.061011,0.220707,0.066133,-0.993780,-0.260661,0.062938,2.085399
9.000000,-0.018493,0.092664,0.068428,0.946370,0.363111,0.002298,-0.064803,0.225201,0.070021,-0.987370,-0.280111,0.062702,2.084764
9.500000,-0.019583,0.098080,0.072232,0.939570,0.382425,0.002547,-0.068587,0.229667,0.073909,-0.980570,-0.299425,0.062453,2.084120
10.000000,-0.020683,0.103522,0.076036,0.932382,0.401595,0.002807,-0.072361,0.234106,0.077797,-0.973382,-0.318595,0.062193,2.083467
10.500000,-0.021794,0.108992,0.079840,0.924811,0.420613,0.003080,-0.076126,0.238518,0.081684,-0.965811,-0.337613,0.061920,2.082806
11.000000,-0.022916,0.114488,0.083645,0.916858,0.439470,0.003364,-0.079881,0.242903,0.085571,-0.957858,-0.356470,0.061636,2.082135
11.500000,-0.024050,0.120010,0.087451,0.908527,0.458160,0.003661,-0.083625,0.247260,0.089457,-0.949527,-0.375160,0.061339,2.081456
12.000000,-0.025197,0.125558,0.091256,0.899823,0.476675,0.003968,-0.087358,0.251591,0.093343,-0.940823,-0.393675,0.061032,2.080769
12.500000,-0.026356,0.131133,0.095063,0.890748,0.495007,0.004288,-0.091079,0.255896,0.097229,-0.931748,-0.412007,0.060712,2.080072
13.000000,-0.027529,0.136733,0.098869,0.881306,0.513149,0.004619,-0.094788,0.260175,0.101114,-0.922306,-0.430149,0.060381,2.079367
13.500000,-0.028716,0.142358,0.102676,0.871502,0.531093,0.004960,-0.098485,0.264427,0.104998,-0.912502,-0.448093,0.060040,2.078654
14.000000,-0.029917,0.148008,0.106484,0.861340,0.548833,0.005313,-0.102167,0.268654,0.108883,-0.902340,-0.465833,0.059687,2.077931
14.500000,-0.031134,0.153683,0.110292,0.850823,0.566360,0.005677,-0.105836,0.272855,0.112766,-0.891823,-0.483360,0.059323,2.077200
15.000000,-0.032365,0.159382,0.114101,0.839957,0.583668,0.006052,-0.109491,0.277031,0.116649,-0.880957,-0.500668,0.058948,2.076461
15.500000,-0.033613,0.165105,0.117910,0.828745,0.600750,0.006437,-0.113130,0.281182,0.120532,-0.869745,-0.517750,0.058563,2.075712
16.000000,-0.034877,0.170853,0.121720,0.817194,0.617598,0.006833,-0.116755,0.285309,0.124414,-0.858194,-0.534598,0.058167,2.074955
16.500000,-0.036158,0.176623,0.125530,0.805307,0.634207,0.007238,-0.120363,0.289411,0.128296,-0.846307,-0.551207,0.057762,2.074189
17.000000,-0.037456,0.182416,0.129341,0.793089,0.650569,0.007654,-0.123955,0.293489,0.132176,-0.834089,-0.567569,0.057346,2.073415
17.500000,-0.038772,0.188233,0.133152,0.780546,0.666677,0.008080,-0.127530,0.297543,0.136057,-0.821546,-0.583677,0.056920,2.072632
18.000000,-0.040106,0.194071,0.136965,0.767683,0.682526,0.008515,-0.131088,0.301574,0.139937,-0.808683,-0.599526,0.056485,2.071840
18.500000,-0.041459,0.199932,0.140777,0.754505,0.698108,0.008960,-0.134627,0.305582,0.143816,-0.795505,-0.615108,0.056040,2.071039
19.000000,-0.042831,0.205814,0.144590,0.741018,0.713417,0.009415,-0.138149,0.309568,0.147694,-0.782018,-0.630417,0.055585,2.070230
19.500000,-0.044223,0.211717,0.148404,0.727228,0.728448,0.009878,-0.141651,0.313531,0.151572,-0.768228,-0.645448,0.055122,2.069412
20.000000,-0.045634,0.217641,0.152219,0.713140,0.743194,0.010350,-0.145135,0.317472,0.155449,-0.754140,-0.660194,0.054650,2.068585
20.500000,-0.047066,0.223585,0.156034,0.698760,0.757650,0.010831,-0.148598,0.321391,0.159326,-0.739760,-0.674650,0.054169,2.067749
21.000000,-0.048518,0.229549,0.159850,0.684095,0.771809,0.011321,-0.152042,0.325289,0.163201,-0.725095,-0.688809,0.053679,2.066904
21.500000,-0.049992,0.235533,0.163667,0.669150,0.785665,0.011818,-0.155465,0.329167,0.167076,-0.710150,-0.702665,0.053182,2.066050
22.000000,-0.051487,0.241536,0.167484,0.653931,0.799214,0.012324,-0.158867,0.333024,0.170951,-0.694931,-0.716214,0.052676,2.065187
22.499999,-0.053004,0.247557,0.171302,0.638446,0.812449,0.012838,-0.162247,0.336861,0.174824,-0.679446,-0.729449,0.052162,2.064315
