# Two Dipoles. Collinear case. Opposite moments. $l=5$
# Commit: 2026-08-08-4-g5e9f416
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-08-14 01:33:43
time,d1_rx,d1_mx,d2_rx,d2_mx,sum_zeta_square,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z
0.000000,0.000000,1.000000,5.000000,-1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.118404,1.000842,4.881596,-1.000842,2.003371,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.236697,1.001872,4.763303,-1.001872,2.007495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.000000,0.354855,1.003144,4.645145,-1.003144,2.012597,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.000000,0.472845,1.004735,4.527155,-1.004735,2.018984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,0.590625,1.006750,4.409375,-1.006750,2.027090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,0.708137,1.009340,4.291863,-1.009340,2.037536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.000000,0.825304,1.012728,4.174696,-1.012728,2.051235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.000000,0.942018,1.017241,4.057982,-1.017241,2.069558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.000000,1.058128,1.023381,3.941872,-1.023381,2.094617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,1.173416,1.031918,3.826584,-1.031918,2.129710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.000000,1.287568,1.044040,3.712432,-1.044040,2.180038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.000000,1.400131,1.061543,3.599869,-1.061543,2.253747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
