# Two Dipoles. Collinear case. Opposite moments. $l=-0.5$
# Commit: 2026-08-08-4-g5e9f416
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-08-14 01:33:43
time,d1_rx,d1_mx,d2_rx,d2_mx,sum_zeta_square,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z
0.000000,0.000000,1.000000,-0.500000,-1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.016951,0.942095,-0.516951,-0.942095,1.775084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.034932,0.888582,-0.534932,-0.888582,1.579157,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.000000,0.053982,0.839196,-0.553982,-0.839196,1.408501,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.000000,0.074137,0.793686,-0.574137,-0.793686,1.259874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,0.095430,0.751817,-0.595430,-0.751817,1.130457,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,0.117889,0.713368,-0.617889,-0.713368,1.017788,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.000000,0.141534,0.678132,-0.641534,-0.678132,0.919726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.000000,0.166383,0.645912,-0.666383,-0.645912,0.834404,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.000000,0.192442,0.616521,-0.692442,-0.616521,0.760195,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.219711,0.589781,-0.719711,-0.589781,0.695682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.000000,0.248183,0.565521,-0.748183,-0.565521,0.639628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.000000,0.277838,0.543578,-0.777838,-0.543578,0.590955,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.000000,0.308650,0.523794,-0.808650,-0.523794,0.548721,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.000000,0.340584,0.506016,-0.840584,-0.506016,0.512105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.000000,0.373597,0.490096,-0.873597,-0.490096,0.480388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.000000,0.407637,0.475890,-0.907637,-0.475890,0.452942,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.000000,0.442647,0.463258,-0.942647,-0.463258,0.429217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.000000,0.478567,0.452067,-0.978567,-0.452067,0.408729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19.000000,0.515332,0.442186,-1.015332,-0.442186,0.391057,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.000000,0.552874,0.433491,-1.052874,-0.433491,0.375828,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21.000000,0.591129,0.425862,-1.091129,-0.425862,0.362717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.000000,0.630029,0.419188,-1.130029,-0.419188,0.351438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.999999,0.669512,0.413364,-1.169512,-0.413364,0.341739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23.999999,0.709517,0.408290,-1.209517,-0.408290,0.333402,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.999999,0.749988,0.403878,-1.249988,-0.403878,0.326234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25.999999,0.790873,0.400044,-1.290873,-0.400044,0.320070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26.999999,0.832125,0.396714,-1.332125,-0.396714,0.314763,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27.999999,0.873701,0.393821,-1.373701,-0.393821,0.310189,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28.999999,0.915563,0.391306,-1.415563,-0.391306,0.306241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29.999999,0.957676,0.389117,-1.457676,-0.389117,0.302824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30.999999,1.000011,0.387209,-1.500011,-0.387209,0.299862,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31.999999,1.042541,0.385542,-1.542541,-0.385542,0.297285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32.999999,1.085243,0.384082,-1.585243,-0.384082,0.295038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
33.999999,1.128098,0.382800,-1.628098,-0.382800,0.293072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34.999999,1.171088,0.381671,-1.671088,-0.381671,0.291346,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35.999999,1.214197,0.380674,-1.714197,-0.380674,0.289826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36.999999,1.257413,0.379791,-1.757413,-0.379791,0.288482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
37.999999,1.300723,0.379006,-1.800723,-0.379006,0.287291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38.999999,1.344119,0.378306,-1.844119,-0.378306,0.286231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
39.999999,1.387590,0.377680,-1.887590,-0.377680,0.285285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40.999999,1.431129,0.377119,-1.931129,-0.377119,0.284438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
41.999999,1.474730,0.376615,-1.974730,-0.376615,0.283678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
42.999999,1.518386,0.376160,-2.018386,-0.376160,0.282993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
43.999999,1.562093,0.375749,-2.062093,-0.375749,0.282375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
44.999999,1.605845,0.375377,-2.105845,-0.375377,0.281816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
45.999999,1.649638,0.375039,-2.149638,-0.375039,0.281308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
46.999999,1.693469,0.374731,-2.193469,-0.374731,0.280846,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
47.999999,1.737335,0.374450,-2.237335,-0.374450,0.280425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
