# Two Dipoles. Parallel case. Collinear co-directed moments. $l=0$, $h=4$
# Commit: 2026-06-04-2-g5a5da60-dirty
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-06-10 04:21:57
time,d1_rx,d1_ry,d1_mx,d1_my,d2_rx,d2_ry,d2_mx,d2_my,sum_zeta_square
0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,4.000000,1.000000,0.000000,2.000000
1.000000,0.118481,0.000054,1.000000,0.000932,0.118481,3.999946,1.000000,-0.000932,2.000002
2.000000,0.236962,0.000218,1.000000,0.001865,0.236962,3.999782,1.000000,-0.001865,2.000007
3.000000,0.355443,0.000490,1.000000,0.002798,0.355443,3.999510,1.000000,-0.002798,2.000016
4.000000,0.473923,0.000873,1.000000,0.003732,0.473923,3.999127,1.000000,-0.003732,2.000028
5.000000,0.592403,0.001364,1.000000,0.004666,0.592403,3.998636,1.000000,-0.004666,2.000044
6.000000,0.710881,0.001966,1.000000,0.005602,0.710881,3.998034,1.000000,-0.005602,2.000063
7.000000,0.829358,0.002677,1.000000,0.006538,0.829358,3.997323,1.000000,-0.006538,2.000086
8.000000,0.947834,0.003497,1.000000,0.007477,0.947834,3.996503,1.000000,-0.007477,2.000112
9.000000,1.066308,0.004428,1.000000,0.008417,1.066308,3.995572,1.000000,-0.008417,2.000142
10.000000,1.184780,0.005470,1.000000,0.009358,1.184780,3.994530,1.000000,-0.009358,2.000175
11.000000,1.303250,0.006621,1.000000,0.010302,1.303250,3.993379,1.000000,-0.010302,2.000212
12.000000,1.421717,0.007884,1.000000,0.011248,1.421717,3.992116,1.000000,-0.011248,2.000253
13.000000,1.540183,0.009257,1.000000,0.012197,1.540183,3.990743,1.000000,-0.012197,2.000298
14.000000,1.658645,0.010742,1.000000,0.013149,1.658645,3.989258,1.000000,-0.013149,2.000346
15.000000,1.777105,0.012338,1.000000,0.014103,1.777105,3.987662,1.000000,-0.014103,2.000398
16.000000,1.895561,0.014046,1.000000,0.015061,1.895561,3.985954,1.000000,-0.015061,2.000454
17.000000,2.014015,0.015867,1.000000,0.016022,2.014015,3.984133,1.000000,-0.016022,2.000513
18.000000,2.132464,0.017800,1.000000,0.016987,2.132464,3.982200,1.000000,-0.016987,2.000577
19.000000,2.250910,0.019847,1.000000,0.017956,2.250910,3.980153,1.000000,-0.017956,2.000645
20.000000,2.369351,0.022007,1.000000,0.018929,2.369351,3.977993,1.000000,-0.018929,2.000717
21.000000,2.487788,0.024281,1.000000,0.019906,2.487788,3.975719,1.000000,-0.019906,2.000793
22.000000,2.606221,0.026670,1.000000,0.020889,2.606221,3.973330,1.000000,-0.020889,2.000873
22.999999,2.724649,0.029174,1.000000,0.021876,2.724649,3.970826,1.000000,-0.021876,2.000957
23.999999,2.843072,0.031793,1.000000,0.022868,2.843072,3.968207,1.000000,-0.022868,2.001046
