# Two Dipoles. Parallel case. Opposite moments. $l=1$, $h=1$
# Commit: 2026-06-04-2-g5a5da60-dirty
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-06-10 04:21:57
time,d1_rx,d1_ry,d1_mx,d1_my,d2_rx,d2_ry,d2_mx,d2_my,sum_zeta_square
0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,-1.000000,0.000000,2.000000
1.000000,0.096954,-0.016675,1.013647,0.058721,0.903046,1.016675,-1.013647,-0.058721,2.061856
2.000000,0.193299,-0.027547,1.023368,0.129591,0.806701,1.027547,-1.023368,-0.129591,2.128150
3.000000,0.288615,-0.031075,1.026411,0.212379,0.711385,1.031075,-1.026411,-0.212379,2.197249
4.000000,0.382193,-0.025943,1.019769,0.305962,0.617807,1.025943,-1.019769,-0.305962,2.267083
5.000000,0.473048,-0.011153,1.000473,0.408266,0.526952,1.011153,-1.000473,-0.408266,2.335254
6.000000,0.559973,0.013910,0.965931,0.516306,0.440027,0.986090,-0.965931,-0.516306,2.399190
7.000000,0.641607,0.049460,0.914259,0.626328,0.358393,0.950540,-0.914259,-0.626328,2.456314
8.000000,0.716515,0.095312,0.844560,0.734047,0.283485,0.904688,-0.844560,-0.734047,2.504213
9.000000,0.783276,0.150906,0.757111,0.834975,0.216724,0.849094,-0.757111,-0.834975,2.540800
10.000000,0.840561,0.215348,0.653431,0.924798,0.159439,0.784652,-0.653431,-0.924798,2.564446
11.000000,0.887197,0.287461,0.536213,0.999759,0.112803,0.712539,-0.536213,-0.999759,2.574084
12.000000,0.922234,0.365844,0.409121,1.057006,0.077766,0.634156,-0.409121,-1.057006,2.569284
13.000000,0.944986,0.448944,0.276487,1.094848,0.055014,0.551056,-0.276487,-1.094848,2.550273
14.000000,0.955072,0.535131,0.142928,1.112895,0.044928,0.464869,-0.142928,-1.112895,2.517927
15.000000,0.952429,0.622780,0.012951,1.112065,0.047571,0.377220,-0.012951,-1.112065,2.473712
16.000000,0.937325,0.710362,-0.109424,1.094451,0.062675,0.289638,0.109424,-1.094451,2.419594
17.000000,0.910351,0.796526,-0.220960,1.063077,0.089649,0.203474,0.220960,-1.063077,2.357910
18.000000,0.872392,0.880190,-0.319394,1.021564,0.127608,0.119810,0.319394,-1.021564,2.291212
19.000000,0.824594,0.960614,-0.403512,0.973770,0.175406,0.039386,0.403512,-0.973770,2.222100
20.000000,0.768305,1.037456,-0.473094,0.923420,0.231695,-0.037456,0.473094,-0.923420,2.153043
21.000000,0.705000,1.110790,-0.528775,0.873790,0.295000,-0.110790,0.528775,-0.873790,2.086223
22.000000,0.636197,1.181075,-0.571832,0.827472,0.363803,-0.181075,0.571832,-0.827472,2.023403
22.999999,0.563352,1.249062,-0.603959,0.786231,0.436648,-0.249062,0.603959,-0.786231,1.965851
23.999999,0.487764,1.315651,-0.627036,0.750991,0.512236,-0.315651,0.627036,-0.750991,1.914324
24.999999,0.410497,1.381719,-0.642950,0.721923,0.589503,-0.381719,0.642950,-0.721923,1.869114
