# Two Dipoles. Parallel case. Opposite moments. $l=4$, $h=0.1$
# Commit: 2026-06-04-2-g5a5da60-dirty
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-06-10 04:21:57
time,d1_rx,d1_ry,d1_mx,d1_my,d2_rx,d2_ry,d2_mx,d2_my,sum_zeta_square
0.000000,0.000000,0.000000,1.000000,0.000000,4.000000,0.100000,-1.000000,0.000000,2.000000
1.000000,0.117126,-0.000099,1.002102,0.000108,3.882874,0.100099,-1.002102,-0.000108,2.008416
2.000000,0.233972,-0.000213,1.004809,0.000257,3.766028,0.100213,-1.004809,-0.000257,2.019284
3.000000,0.350458,-0.000348,1.008357,0.000465,3.649542,0.100348,-1.008357,-0.000465,2.033566
4.000000,0.466469,-0.000511,1.013093,0.000764,3.533531,0.100511,-1.013093,-0.000764,2.052717
5.000000,0.581847,-0.000714,1.019551,0.001202,3.418153,0.100714,-1.019551,-0.001202,2.078970
6.000000,0.696363,-0.000976,1.028546,0.001864,3.303637,0.100976,-1.028546,-0.001864,2.115819
7.000000,0.809687,-0.001320,1.041329,0.002888,3.190313,0.101320,-1.041329,-0.002888,2.168748
8.000000,0.921344,-0.001774,1.059776,0.004509,3.078656,0.101774,-1.059776,-0.004509,2.246292
9.000000,1.030672,-0.002365,1.086591,0.007109,2.969328,0.102365,-1.086591,-0.007109,2.361459
10.000000,1.136786,-0.003099,1.125454,0.011293,2.863214,0.103099,-1.125454,-0.011293,2.533550
11.000000,1.238591,-0.003941,1.181065,0.017976,2.761409,0.103941,-1.181065,-0.017976,2.790474
12.000000,1.334861,-0.004787,1.259022,0.028486,2.665139,0.104787,-1.259022,-0.028486,3.171894
13.000000,1.424395,-0.005469,1.365624,0.044656,2.575605,0.105469,-1.365624,-0.044656,3.733844
14.000000,1.506195,-0.005783,1.507679,0.068926,2.493805,0.105783,-1.507679,-0.068926,4.555692
15.000000,1.579627,-0.005540,1.692440,0.104447,2.420373,0.105540,-1.692440,-0.104447,5.750525
16.000000,1.644487,-0.004624,1.927709,0.155205,2.355513,0.104624,-1.927709,-0.155205,7.480303
17.000000,1.700971,-0.003010,2.222088,0.226183,2.299029,0.103010,-2.222088,-0.226183,9.977666
18.000000,1.749589,-0.000757,2.585320,0.323578,2.250411,0.100757,-2.585320,-0.323578,13.577163
19.000000,1.791044,0.002015,3.028677,0.455081,2.208956,0.097985,-3.028677,-0.455081,18.759972
20.000000,1.826133,0.005163,3.565363,0.630241,2.173867,0.094837,-3.565363,-0.630241,26.218034
21.000000,1.855665,0.008539,4.210924,0.860907,2.144335,0.091461,-4.210924,-0.860907,36.946091
22.000000,1.880412,0.012014,4.983689,1.161785,2.119588,0.087986,-4.983689,-1.161785,52.373812
22.999999,1.901079,0.015478,5.905234,1.551113,2.098921,0.084522,-5.905234,-1.551113,74.555483
23.999999,1.918292,0.018848,7.000897,2.051475,2.081708,0.081152,-7.000897,-2.051475,106.442220
24.999999,1.932599,0.022063,8.300351,2.690806,2.067401,0.077937,-8.300351,-2.690806,152.272515
25.999999,1.944469,0.025084,9.838241,3.503597,2.055531,0.074916,-9.838241,-3.503597,218.132349
26.999999,1.954303,0.027886,11.654899,4.532356,2.045697,0.072114,-11.654899,-4.532356,312.757853
27.999999,1.962440,0.030458,13.797075,5.829347,2.037560,0.069542,-13.797075,-5.829347,448.681135
28.999999,1.969163,0.032798,16.318943,7.458797,2.030837,0.067202,-16.318943,-7.458797,643.883075
29.999999,1.974714,0.034910,19.282840,9.499342,2.025286,0.065090,-19.282840,-9.499342,924.130815
30.999999,1.979292,0.036806,22.760287,12.047094,2.020708,0.063194,-22.760287,-12.047094,1326.326260
31.999999,1.983063,0.038498,26.832897,15.219191,2.016937,0.061502,-26.832897,-15.219191,1903.256253
32.999999,1.986167,0.040000,31.592926,19.157796,2.013833,0.060000,-31.592926,-19.157796,2730.268204
33.999999,1.988717,0.041327,37.144337,24.035079,2.011283,0.058673,-37.144337,-24.035079,3914.773629
34.999999,1.990814,0.042497,43.601816,30.057759,2.009186,0.057503,-43.601816,-30.057759,5609.174492
35.999999,1.992540,0.043529,51.089927,37.472340,2.007460,0.056471,-51.089927,-37.472340,8028.713766
36.999999,1.993956,0.044433,59.744644,46.573013,2.006044,0.055567,-59.744644,-46.573013,11476.936180
37.999999,1.995103,0.045212,69.695102,57.694895,2.004897,0.054788,-69.695102,-57.694895,16372.216391
38.999999,1.996069,0.045915,81.071674,71.226379,2.003931,0.054085,-81.071674,-71.226379,23291.626807
39.999999,1.996828,0.046498,93.955476,87.571041,2.003172,0.053502,-93.955476,-87.571041,32992.637129
40.999999,1.997474,0.047030,108.510929,107.274777,2.002526,0.052970,-108.510929,-107.274777,46564.998699
41.999999,1.998025,0.047516,124.447860,130.498872,2.001975,0.052484,-124.447860,-130.498872,65034.450986
42.999999,1.998440,0.047901,141.559832,157.489882,2.001560,0.052099,-141.559832,-157.489882,89684.497987
43.999999,1.998740,0.048191,160.193494,189.162994,2.001260,0.051809,-160.193494,-189.162994,122889.187808
44.999999,1.999045,0.048516,179.870591,225.585159,2.000955,0.051484,-179.870591,-225.585159,166484.187259
45.999999,1.999343,0.048864,198.250438,264.307426,2.000657,0.051136,-198.250438,-264.307426,218323.302408
46.999999,1.999602,0.049193,212.342062,301.281468,2.000398,0.050807,-212.342062,-301.281468,271719.348474
47.999999,1.999800,0.049463,220.013299,332.688911,2.000200,0.050537,-220.013299,-332.688911,318175.526722
48.999999,1.999934,0.049659,221.051658,356.838170,2.000066,0.050341,-221.051658,-356.838170,352394.630544
49.999999,2.000017,0.049791,216.726002,374.238866,1.999983,0.050209,-216.726002,-374.238866,374049.777440
50.999999,2.000069,0.049879,208.637711,386.296749,1.999931,0.050121,-208.637711,-386.296749,385509.745066
51.999999,2.000105,0.049947,197.981440,394.147359,1.999895,0.050053,-197.981440,-394.147359,389097.582830
52.999999,2.000137,0.050016,185.368771,398.119184,1.999863,0.049984,-185.368771,-398.119184,385720.930870
53.999999,2.000177,0.050109,170.917482,397.565514,1.999823,0.049891,-170.917482,-397.565514,374542.247102
54.999999,2.000232,0.050252,154.439119,390.891072,1.999768,0.049748,-154.439119,-390.891072,353294.543265
55.999999,2.000308,0.050473,135.755688,375.985802,1.999692,0.049527,-135.755688,-375.985802,319589.859874
56.999999,2.000406,0.050789,115.184595,351.462607,1.999594,0.049211,-115.184595,-351.462607,273586.910054
57.999999,2.000514,0.051191,93.915182,318.357464,1.999486,0.048809,-93.915182,-318.357464,220343.072874
58.999999,2.000615,0.051637,73.728532,280.549761,1.999385,0.048363,-73.728532,-280.549761,168288.129457
59.999999,2.000694,0.052077,56.120714,242.876221,1.999306,0.047923,-56.120714,-242.876221,124276.786123
60.999999,2.000747,0.052490,41.704107,208.790626,1.999253,0.047510,-41.704107,-208.790626,90665.515908
61.999999,2.000805,0.053044,30.173628,178.793846,1.999195,0.046956,-30.173628,-178.793846,65755.374242
62.999999,2.000863,0.053769,20.989296,152.024897,1.999137,0.046231,-20.989296,-152.024897,47104.239423
63.999999,2.000901,0.054601,13.821000,128.460095,1.999099,0.045399,-13.821000,-128.460095,33386.032049
64.999999,2.000911,0.055544,8.365840,108.250068,1.999089,0.044456,-8.365840,-108.250068,23576.128846
65.999999,2.000891,0.056724,4.282895,90.956402,1.999109,0.043276,-4.282895,-90.956402,16582.820476
66.999999,2.000823,0.058089,1.292415,76.252776,1.999177,0.041911,-1.292415,-76.252776,11632.312312
67.999998,2.000692,0.059741,-0.841387,63.810301,1.999308,0.040259,0.841387,-63.810301,8144.924938
68.999998,2.000476,0.061702,-2.312546,53.319881,1.999524,0.038298,2.312546,-53.319881,5696.715115
69.999998,2.000146,0.064034,-3.277550,44.494932,1.999854,0.035966,3.277550,-44.494932,3981.082659
70.999998,1.999666,0.066810,-3.861153,37.087282,2.000334,0.033190,3.861153,-37.087282,2780.749929
71.999998,1.998993,0.070109,-4.161794,30.880281,2.001007,0.029891,4.161794,-30.880281,1941.824503
72.999998,1.998067,0.074032,-4.256373,25.686920,2.001933,0.025968,4.256373,-25.686920,1355.869105
73.999998,1.996818,0.078687,-4.204490,21.347417,2.003182,0.021313,4.204490,-21.347417,946.779925
74.999998,1.995156,0.084206,-4.051900,17.725844,2.004844,0.015794,4.051900,-17.725844,661.246852
75.999998,1.992970,0.090743,-3.833403,14.707042,2.007030,0.009257,3.833403,-14.707042,461.984102
76.999998,1.990121,0.098474,-3.575159,12.193681,2.009879,0.001526,3.575159,-12.193681,322.935220
77.999998,1.986439,0.107607,-3.296578,10.103686,2.013561,-0.007607,3.296578,-10.103686,225.903774
78.999998,1.981715,0.118382,-3.011842,8.368104,2.018285,-0.018382,3.011842,-8.368104,158.192706
