# Two Dipoles. Parallel case. Opposite moments. $l=4$, $h=0.2$
# Commit: 2026-06-04-2-g5a5da60-dirty
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-06-10 04:21:57
time,d1_rx,d1_ry,d1_mx,d1_my,d2_rx,d2_ry,d2_mx,d2_my,sum_zeta_square
0.000000,0.000000,0.000000,1.000000,0.000000,4.000000,0.200000,-1.000000,0.000000,2.000000
1.000000,0.117141,-0.000197,1.002081,0.000215,3.882859,0.200197,-1.002081,-0.000215,2.008333
2.000000,0.234005,-0.000424,1.004758,0.000510,3.765995,0.200424,-1.004758,-0.000510,2.019078
3.000000,0.350513,-0.000691,1.008260,0.000923,3.649487,0.200691,-1.008260,-0.000923,2.033176
4.000000,0.466554,-0.001015,1.012926,0.001513,3.533446,0.201015,-1.012926,-0.001513,2.052043
5.000000,0.581971,-0.001420,1.019273,0.002378,3.418029,0.201420,-1.019273,-0.002378,2.077846
6.000000,0.696542,-0.001939,1.028089,0.003681,3.303458,0.201939,-1.028089,-0.003681,2.113961
7.000000,0.809946,-0.002620,1.040578,0.005695,3.190054,0.202620,-1.040578,-0.005695,2.165669
8.000000,0.921725,-0.003518,1.058536,0.008873,3.078275,0.203518,-1.058536,-0.008873,2.241152
9.000000,1.031240,-0.004685,1.084538,0.013954,2.968760,0.204685,-1.084538,-0.013954,2.352834
10.000000,1.137640,-0.006133,1.122069,0.022106,2.862360,0.206133,-1.122069,-0.022106,2.519055
11.000000,1.239876,-0.007792,1.175525,0.035090,2.760124,0.207792,-1.175525,-0.035090,2.766179
12.000000,1.336769,-0.009458,1.250054,0.055438,2.663231,0.209458,-1.250054,-0.055438,3.131417
13.000000,1.427155,-0.010797,1.351281,0.086633,2.572845,0.210797,-1.351281,-0.086633,3.666929
14.000000,1.510048,-0.011395,1.485004,0.133264,2.489952,0.211395,-1.485004,-0.133264,4.445994
15.000000,1.584784,-0.010874,1.656991,0.201192,2.415216,0.210874,-1.656991,-0.201192,5.572195
16.000000,1.651087,-0.008986,1.872897,0.297729,2.348913,0.208986,-1.872897,-0.297729,7.192774
