# Two Dipoles. Parallel case. Opposite moments. $l=4$, $h=0.3$
# Commit: 2026-06-04-2-g5a5da60-dirty
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-06-10 04:21:57
time,d1_rx,d1_ry,d1_mx,d1_my,d2_rx,d2_ry,d2_mx,d2_my,sum_zeta_square
0.000000,0.000000,0.000000,1.000000,0.000000,4.000000,0.300000,-1.000000,0.000000,2.000000
1.000000,0.117165,-0.000293,1.002047,0.000319,3.882835,0.300293,-1.002047,-0.000319,2.008195
2.000000,0.234059,-0.000631,1.004674,0.000755,3.765941,0.300631,-1.004674,-0.000755,2.018739
3.000000,0.350604,-0.001028,1.008101,0.001364,3.649396,0.301028,-1.008101,-0.001364,2.032537
4.000000,0.466693,-0.001509,1.012653,0.002232,3.533307,0.301509,-1.012653,-0.002232,2.050941
5.000000,0.582174,-0.002108,1.018819,0.003503,3.417826,0.302108,-1.018819,-0.003503,2.076011
6.000000,0.696835,-0.002876,1.027345,0.005410,3.303165,0.302876,-1.027345,-0.005410,2.110936
7.000000,0.810370,-0.003879,1.039358,0.008344,3.189630,0.303880,-1.039358,-0.008344,2.160669
8.000000,0.922347,-0.005201,1.056528,0.012953,3.077653,0.305201,-1.056528,-0.012953,2.232838
9.000000,1.032165,-0.006914,1.081229,0.020289,2.967835,0.306914,-1.081229,-0.020289,2.338936
10.000000,1.139029,-0.009039,1.116634,0.032001,2.860971,0.309039,-1.116634,-0.032001,2.495793
11.000000,1.241959,-0.011469,1.166674,0.050556,2.758041,0.311469,-1.166674,-0.050556,2.727367
12.000000,1.339855,-0.013905,1.235808,0.079479,2.660145,0.313905,-1.235808,-0.079479,3.067076
13.000000,1.431616,-0.015849,1.328648,0.123553,2.568384,0.315849,-1.328648,-0.123553,3.561140
14.000000,1.516277,-0.016682,1.449507,0.188995,2.483723,0.316682,-1.449507,-0.188995,4.273581
15.000000,1.593134,-0.015818,1.602001,0.283592,2.406866,0.315818,-1.602001,-0.283592,5.293663
16.000000,1.661802,-0.012860,1.788734,0.416828,2.338198,0.312860,-1.788734,-0.416828,6.746630
17.000000,1.722224,-0.007682,2.011082,0.600015,2.277776,0.307682,-2.011082,-0.600015,8.808936
18.000000,1.774628,-0.000428,2.268992,0.846460,2.225372,0.300428,-2.268992,-0.846460,11.729642
19.000000,1.819471,0.008560,2.560746,1.171675,2.180529,0.291440,-2.560746,-1.171675,15.860481
20.000000,1.857359,0.018830,2.882607,1.593626,2.142641,0.281170,-2.882607,-1.593626,21.698132
21.000000,1.888989,0.029903,3.228339,2.133004,2.111011,0.270097,-3.228339,-2.133004,29.943766
22.000000,1.915091,0.041333,3.588541,2.813513,2.084909,0.258667,-3.588541,-2.813513,41.586962
22.999999,1.936387,0.052739,3.949790,3.662124,2.063613,0.247261,-3.949790,-3.662124,58.023984
23.999999,1.953562,0.063817,4.293580,4.709289,2.046438,0.236183,-4.293580,-4.709289,81.224472
24.999999,1.967247,0.074343,4.595012,5.989079,2.032753,0.225657,-4.595012,-5.989079,113.966408
25.999999,1.978009,0.084161,4.821225,7.539176,2.021991,0.215839,-4.821225,-7.539176,160.166774
26.999999,1.986350,0.093179,4.929535,9.400716,2.013650,0.206821,-4.929535,-9.400716,225.347567
27.999999,1.992704,0.101352,4.865257,11.617853,2.007296,0.198648,-4.865257,-11.617853,317.290455
28.999999,1.997446,0.108671,4.559171,14.236989,2.002554,0.191329,-4.559171,-14.236989,446.955810
29.999999,2.000894,0.115159,3.924611,17.305752,1.999106,0.184841,-3.924611,-17.305752,629.783257
30.999999,2.003314,0.120853,2.854173,20.871077,1.996686,0.179147,-2.854173,-20.871077,887.496305
31.999999,2.004928,0.125808,1.216062,24.976813,1.995072,0.174192,-1.216062,-24.976813,1250.640011
32.999999,2.005919,0.130082,-1.149915,29.660374,1.994081,0.169918,1.149915,-29.660374,1762.120185
33.999999,2.006436,0.133743,-4.436551,34.947867,1.993564,0.166257,4.436551,-34.947867,2482.072771
34.999999,2.006600,0.136852,-8.873510,40.848467,1.993400,0.163148,8.873510,-40.848467,3494.672806
35.999999,2.006508,0.139475,-14.731245,47.346111,1.993492,0.160525,14.731245,-47.346111,4917.327682
36.999999,2.006236,0.141672,-22.324293,54.389913,1.993764,0.158328,22.324293,-54.389913,6913.273373
37.999999,2.005847,0.143490,-32.012668,61.880879,1.994153,0.156510,32.012668,-61.880879,9708.108203
38.999999,2.005381,0.144994,-44.192917,69.644635,1.994619,0.155006,44.192917,-69.644635,13606.778064
39.999999,2.004876,0.146224,-59.318835,77.457991,1.995124,0.153776,59.318835,-77.457991,19036.929160
40.999999,2.004352,0.147228,-77.799684,84.905882,1.995648,0.152772,77.799684,-84.905882,26523.599281
41.999999,2.003861,0.148007,-100.161394,91.595552,1.996139,0.151993,100.161394,-91.595552,36844.099681
42.999999,2.003337,0.148666,-126.730959,96.818844,1.996663,0.151334,126.730959,-96.818844,50869.249038
43.999999,2.002846,0.149180,-157.439544,99.568100,1.997154,0.150820,157.439544,-99.568100,69402.032924
44.999999,2.002450,0.149541,-192.413728,99.042657,1.997550,0.150459,192.413728,-99.042657,93664.981119
45.999999,2.002101,0.149809,-232.286711,94.600079,1.997899,0.150191,232.286711,-94.600079,125812.581989
46.999999,2.001693,0.150041,-275.824919,84.730849,1.998307,0.149959,275.824919,-84.730849,166517.405566
47.999999,2.001258,0.150218,-319.171501,67.774165,1.998742,0.149782,319.171501,-67.774165,212927.569355
48.999999,2.000845,0.150332,-357.023662,43.166828,1.999155,0.149668,357.023662,-43.166828,258658.541193
49.999999,2.000495,0.150388,-384.746058,12.049143,1.999505,0.149612,384.746058,-12.049143,296349.421804
50.999999,2.000216,0.150400,-400.081491,-23.150065,1.999784,0.149600,400.081491,23.150065,321202.250096
51.999999,1.999986,0.150383,-402.877082,-59.644472,2.000014,0.149617,402.877082,59.644472,331734.812504
52.999999,1.999769,0.150339,-393.678485,-94.765813,2.000231,0.149661,393.678485,94.765813,327926.617659
53.999999,1.999529,0.150258,-372.863414,-125.859493,2.000471,0.149742,372.863414,125.859493,309735.474591
54.999999,1.999241,0.150122,-340.994157,-150.212215,2.000759,0.149878,340.994157,150.212215,277681.449004
55.999999,1.998904,0.149914,-300.008565,-165.625871,2.001096,0.150086,300.008565,165.625871,234874.137147
56.999999,1.998546,0.149632,-253.934683,-171.511631,2.001454,0.150368,253.934683,171.511631,187798.125597
57.999999,1.998212,0.149293,-207.856374,-169.377344,2.001788,0.150707,207.856374,169.377344,143785.914032
58.999999,1.997938,0.148928,-165.853869,-161.969663,2.002062,0.151072,165.853869,161.969663,107483.355492
59.999999,1.997708,0.148522,-129.807297,-151.828196,2.002292,0.151478,129.807297,151.828196,79803.471141
60.999999,1.997428,0.147953,-99.275341,-139.822490,2.002572,0.152047,99.275341,139.822490,58811.844312
61.999999,1.997141,0.147217,-73.631064,-126.429388,2.002859,0.152783,73.631064,126.429388,42811.847569
62.999999,1.996907,0.146362,-52.611794,-112.560343,2.003093,0.153638,52.611794,112.560343,30875.663249
63.999999,1.996739,0.145359,-35.832154,-99.077527,2.003261,0.154641,35.832154,99.077527,22200.599270
64.999999,1.996634,0.144112,-22.639440,-86.239900,2.003366,0.155888,22.639440,86.239900,15899.729001
65.999999,1.996656,0.142672,-12.477507,-74.317808,2.003344,0.157328,12.477507,74.317808,11357.649493
66.999999,1.996833,0.140948,-4.824078,-63.452474,2.003167,0.159052,4.824078,63.452474,8098.976329
67.999998,1.997231,0.138948,0.787290,-53.700343,2.002769,0.161052,-0.787290,53.700343,5768.693267
68.999998,1.997916,0.136630,4.760808,-45.055281,2.002084,0.163370,-4.760808,45.055281,4105.287290
69.999998,1.998975,0.133965,7.439777,-37.478440,2.001025,0.166035,-7.439777,37.478440,2919.967478
70.999998,2.000513,0.130933,9.111657,-30.904529,1.999487,0.169067,-9.111657,30.904529,2076.224350
71.999998,2.002656,0.127522,10.013900,-25.253848,1.997344,0.172478,-10.013900,25.253848,1476.070084
72.999998,2.005556,0.123721,10.340217,-20.439462,1.994444,0.176279,-10.340217,20.439462,1049.383379
73.999998,2.009390,0.119547,10.246878,-16.372619,1.990610,0.180453,-10.246878,16.372619,746.122333
74.999998,2.014365,0.115031,9.858419,-12.966302,1.985635,0.184969,-9.858419,12.966302,530.626817
75.999998,2.020725,0.110236,9.272838,-10.137620,1.979275,0.189764,-9.272838,10.137620,377.513704
76.999998,2.028746,0.105259,8.566170,-7.809319,1.971254,0.194741,-8.566170,7.809319,268.729438
77.999998,2.038741,0.100246,7.796431,-5.910616,1.961259,0.199754,-7.796431,5.910616,191.439425
78.999998,2.051061,0.095398,7.007061,-4.377661,1.948939,0.204602,-7.007061,4.377661,136.525653
79.999998,2.066093,0.090986,6.229765,-3.153440,1.933907,0.209014,-6.229765,3.153440,97.508315
80.999998,2.084255,0.087363,5.486939,-2.187608,1.915745,0.212637,-5.486939,2.187608,69.784248
81.999998,2.105987,0.084972,4.793681,-1.436108,1.894013,0.215028,-4.793681,1.436108,50.083560
82.999998,2.131745,0.084354,4.159447,-0.860699,1.868255,0.215646,-4.159447,0.860699,36.083605
83.999998,2.161979,0.086147,3.589392,-0.428429,1.838021,0.213853,-3.589392,0.428429,26.134576
84.999998,2.197122,0.091068,3.085442,-0.111085,1.802878,0.208932,-3.085442,0.111085,19.064582
85.999998,2.237562,0.099884,2.647134,0.115340,1.762438,0.200116,-2.647134,-0.115340,14.041243
