# Two Dipoles. Perpendicular moments. $l=2$, $h=-2$
# Commit: 2026-06-04-2-g5a5da60-dirty
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-06-10 04:21:57
time,d1_rx,d1_ry,d1_mx,d1_my,d2_rx,d2_ry,d2_mx,d2_my,sum_zeta_square
0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,-2.000000,0.000000,1.000000,2.000000
1.000000,0.114258,0.001736,1.004235,-0.004235,2.001736,-1.885742,-0.004235,1.004235,2.017013
2.000000,0.227988,0.003388,1.009451,-0.009451,2.003388,-1.772012,-0.009451,1.009451,2.038163
3.000000,0.341077,0.005024,1.015822,-0.015822,2.005024,-1.658923,-0.015822,1.015822,2.064291
4.000000,0.453403,0.006795,1.023484,-0.023484,2.006795,-1.546597,-0.023484,1.023484,2.096143
5.000000,0.564843,0.008996,1.032485,-0.032485,2.008996,-1.435157,-0.032485,1.032485,2.134161
6.000000,0.675303,0.012126,1.042728,-0.042728,2.012126,-1.324697,-0.042728,1.042728,2.178216
7.000000,0.784739,0.016947,1.053931,-0.053931,2.016947,-1.215261,-0.053931,1.053931,2.227358
8.000000,0.893195,0.024502,1.065619,-0.065619,2.024502,-1.106805,-0.065619,1.065619,2.279702
9.000000,1.000818,0.036056,1.077179,-0.077179,2.036056,-0.999182,-0.077179,1.077179,2.332541
10.000000,1.107853,0.052951,1.087950,-0.087950,2.052951,-0.892147,-0.087950,1.087950,2.382739
11.000000,1.214610,0.076411,1.097342,-0.097342,2.076411,-0.785390,-0.097342,1.097342,2.427269
12.000000,1.321410,0.107345,1.104918,-0.104918,2.107345,-0.678590,-0.104918,1.104918,2.463701
13.000000,1.428535,0.146241,1.110424,-0.110424,2.146241,-0.571465,-0.110424,1.110424,2.490469
14.000000,1.536196,0.193157,1.113775,-0.113775,2.193157,-0.463804,-0.113775,1.113775,2.506878
15.000000,1.644525,0.247790,1.115007,-0.115007,2.247790,-0.355475,-0.115007,1.115007,2.512933
16.000000,1.753582,0.309596,1.114228,-0.114228,2.309596,-0.246418,-0.114228,1.114228,2.509105
17.000000,1.863371,0.377897,1.111581,-0.111581,2.377897,-0.136629,-0.111581,1.111581,2.496125
18.000000,1.973863,0.451975,1.107213,-0.107213,2.451975,-0.026137,-0.107213,1.107213,2.474828
19.000000,2.085004,0.531125,1.101262,-0.101262,2.531125,0.085004,-0.101262,1.101262,2.446065
20.000000,2.196735,0.614698,1.093855,-0.093855,2.614698,0.196735,-0.093855,1.093855,2.410656
21.000000,2.308990,0.702109,1.085100,-0.085100,2.702109,0.308990,-0.085100,1.085100,2.369369
22.000000,2.421709,0.792845,1.075092,-0.075092,2.792845,0.421709,-0.075092,1.075092,2.322921
22.999999,2.534834,0.886462,1.063910,-0.063910,2.886462,0.534834,-0.063910,1.063910,2.271979
23.999999,2.648313,0.982579,1.051627,-0.051627,2.982579,0.648313,-0.051627,1.051627,2.217167
24.999999,2.762098,1.080871,1.038303,-0.038303,3.080871,0.762098,-0.038303,1.038303,2.159079
25.999999,2.876149,1.181058,1.023994,-0.023994,3.181058,0.876149,-0.023994,1.023994,2.098277
26.999999,2.990429,1.282903,1.008750,-0.008750,3.282903,0.990429,-0.008750,1.008750,2.035305
27.999999,3.104906,1.386202,0.992617,0.007383,3.386202,1.104906,0.007383,0.992617,1.970687
28.999999,3.219551,1.490783,0.975640,0.024360,3.490783,1.219551,0.024360,0.975640,1.904932
29.999999,3.334338,1.596494,0.957858,0.042142,3.596494,1.334338,0.042142,0.957858,1.838537
30.999999,3.449245,1.703208,0.939313,0.060687,3.703208,1.449245,0.060687,0.939313,1.771983
31.999999,3.564251,1.810813,0.920042,0.079958,3.810813,1.564251,0.079958,0.920042,1.705742
32.999999,3.679339,1.919214,0.900084,0.099916,3.919214,1.679339,0.099916,0.900084,1.640270
33.999999,3.794492,2.028325,0.879477,0.120523,4.028325,1.794492,0.120523,0.879477,1.576012
34.999999,3.909694,2.138073,0.858258,0.141742,4.138073,1.909694,0.141742,0.858258,1.513395
35.999999,4.024932,2.248395,0.836464,0.163536,4.248395,2.024932,0.163536,0.836464,1.452833
36.999999,4.140193,2.359233,0.814134,0.185866,4.359233,2.140193,0.185866,0.814134,1.394720
37.999999,4.255463,2.470537,0.791304,0.208696,4.470537,2.255463,0.208696,0.791304,1.339432
38.999999,4.370732,2.582263,0.768013,0.231987,4.582263,2.370732,0.231987,0.768013,1.287323
39.999999,4.485988,2.694372,0.744298,0.255702,4.694372,2.485988,0.255702,0.744298,1.238727
40.999999,4.601220,2.806828,0.720199,0.279801,4.806828,2.601220,0.279801,0.720199,1.193951
41.999999,4.716417,2.919599,0.695754,0.304246,4.919599,2.716417,0.304246,0.695754,1.153279
42.999999,4.831568,3.032657,0.671002,0.328998,5.032657,2.831568,0.328998,0.671002,1.116967
43.999999,4.946664,3.145977,0.645982,0.354018,5.145977,2.946664,0.354018,0.645982,1.085243
44.999999,5.061693,3.259534,0.620734,0.379266,5.259534,3.061693,0.379266,0.620734,1.058307
45.999999,5.176643,3.373309,0.595297,0.404703,5.373309,3.176643,0.404703,0.595297,1.036326
46.999999,5.291504,3.487280,0.569712,0.430288,5.487280,3.291504,0.430288,0.569712,1.019439
47.999999,5.406264,3.601430,0.544017,0.455983,5.601430,3.406264,0.455983,0.544017,1.007750
