# Two Dipoles. Viscous opposite moments. $\\Reyn=0.5$, $x(0)=3$
# Commit: 2026-08-08-4-g5e9f416
# KinematicViscosity: 2
# TauMode: ConstPi32 τ = 1/π^(3/2)
# Date: 2026-08-14 01:33:44
time,d1_rx,d1_mx,d2_rx,d2_mx,sum_zeta_square,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z
0.000000,0.000000,1.000000,3.000000,-1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,0.011352,1.000559,2.988648,-1.000559,2.002235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.022692,1.001131,2.977308,-1.001131,2.004525,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300000,0.034021,1.001716,2.965979,-1.001716,2.006871,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,0.045336,1.002315,2.954664,-1.002315,2.009270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,0.056638,1.002927,2.943362,-1.002927,2.011725,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.600000,0.067926,1.003552,2.932074,-1.003552,2.014232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700000,0.079198,1.004189,2.920802,-1.004189,2.016792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.090453,1.004839,2.909547,-1.004839,2.019402,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.900000,0.101690,1.005500,2.898310,-1.005500,2.022060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.112908,1.006172,2.887092,-1.006172,2.024764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.100000,0.124104,1.006854,2.875896,-1.006854,2.027510,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,0.135278,1.007545,2.864722,-1.007545,2.030295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.300000,0.146428,1.008244,2.853572,-1.008244,2.033113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.400000,0.157552,1.008950,2.842448,-1.008950,2.035960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.500000,0.168647,1.009660,2.831353,-1.009660,2.038828,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.179712,1.010374,2.820288,-1.010374,2.041711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.700000,0.190744,1.011089,2.809256,-1.011089,2.044600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.800000,0.201741,1.011802,2.798259,-1.011802,2.047486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.900000,0.212699,1.012511,2.787301,-1.012511,2.050357,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.223617,1.013213,2.776383,-1.013213,2.053201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.100000,0.234490,1.013905,2.765510,-1.013905,2.056005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.200000,0.245315,1.014582,2.754685,-1.014582,2.058753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.300000,0.256089,1.015241,2.743911,-1.015241,2.061429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.400000,0.266807,1.015877,2.733193,-1.015877,2.064013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.500000,0.277466,1.016485,2.722534,-1.016485,2.066485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.600000,0.288062,1.017060,2.711938,-1.017060,2.068823,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.700000,0.298589,1.017596,2.701411,-1.017596,2.071003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.800000,0.309043,1.018086,2.690957,-1.018086,2.072997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.900000,0.319420,1.018523,2.680580,-1.018523,2.074777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.000000,0.329712,1.018900,2.670288,-1.018900,2.076313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.100000,0.339916,1.019209,2.660084,-1.019209,2.077573,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.200000,0.350025,1.019441,2.649975,-1.019441,2.078520,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.300000,0.360034,1.019588,2.639966,-1.019588,2.079120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.400000,0.369936,1.019640,2.630064,-1.019640,2.079332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.500000,0.379725,1.019588,2.620275,-1.019588,2.079118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.600000,0.389395,1.019420,2.610605,-1.019420,2.078435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.700000,0.398939,1.019127,2.601061,-1.019127,2.077240,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.800000,0.408351,1.018698,2.591649,-1.018698,2.075490,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.900000,0.417624,1.018121,2.582376,-1.018121,2.073140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.000000,0.426751,1.017385,2.573249,-1.017385,2.070145,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.100000,0.435726,1.016479,2.564274,-1.016479,2.066459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.200000,0.444542,1.015391,2.555458,-1.015391,2.062039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.300000,0.453193,1.014111,2.546807,-1.014111,2.056842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.400000,0.461673,1.012626,2.538327,-1.012626,2.050824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.500000,0.469975,1.010927,2.530025,-1.010927,2.043948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.600000,0.478094,1.009003,2.521906,-1.009003,2.036174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.700000,0.486024,1.006844,2.513976,-1.006844,2.027469,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.800000,0.493760,1.004441,2.506240,-1.004441,2.017803,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.900000,0.501297,1.001786,2.498703,-1.001786,2.007149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,0.508630,0.998871,2.491370,-0.998871,1.995485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.100000,0.515756,0.995689,2.484244,-0.995689,1.982794,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.200000,0.522670,0.992236,2.477330,-0.992236,1.969064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.300000,0.529370,0.988506,2.470630,-0.988506,1.954290,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.400000,0.535853,0.984498,2.464147,-0.984498,1.938472,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.500000,0.542117,0.980208,2.457883,-0.980208,1.921614,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.600000,0.548160,0.975636,2.451840,-0.975636,1.903731,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.700000,0.553982,0.970783,2.446018,-0.970783,1.884839,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.800000,0.559581,0.965651,2.440419,-0.965651,1.864962,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.900000,0.564958,0.960243,2.435042,-0.960243,1.844132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,0.570113,0.954564,2.429887,-0.954564,1.822383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.100000,0.575047,0.948619,2.424953,-0.948619,1.799756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.200000,0.579761,0.942416,2.420239,-0.942416,1.776295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.300000,0.584258,0.935963,2.415742,-0.935963,1.752052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.400000,0.588540,0.929268,2.411460,-0.929268,1.727079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.500000,0.592609,0.922343,2.407391,-0.922343,1.701433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.600000,0.596468,0.915197,2.403532,-0.915197,1.675173,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.700000,0.600122,0.907844,2.399878,-0.907844,1.648360,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.800000,0.603574,0.900294,2.396426,-0.900294,1.621057,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.900000,0.606828,0.892561,2.393172,-0.892561,1.593329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.000000,0.609888,0.884658,2.390112,-0.884658,1.565239,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.100000,0.612760,0.876599,2.387240,-0.876599,1.536850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.200000,0.615447,0.868397,2.384553,-0.868397,1.508226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.300000,0.617955,0.860067,2.382045,-0.860067,1.479429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.400000,0.620288,0.851622,2.379712,-0.851622,1.450520,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.500000,0.622453,0.843076,2.377547,-0.843076,1.421556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.600000,0.624453,0.834444,2.375547,-0.834444,1.392593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.700000,0.626296,0.825738,2.373704,-0.825738,1.363686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.800000,0.627985,0.816972,2.372015,-0.816972,1.334885,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.900000,0.629526,0.808158,2.370474,-0.808158,1.306238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.000000,0.630926,0.799309,2.369074,-0.799309,1.277790,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.100000,0.632188,0.790437,2.367812,-0.790437,1.249582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.200000,0.633318,0.781554,2.366682,-0.781554,1.221652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.300000,0.634322,0.772669,2.365678,-0.772669,1.194036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.400000,0.635204,0.763795,2.364796,-0.763795,1.166765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.500000,0.635970,0.754940,2.364030,-0.754940,1.139868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.600000,0.636625,0.746114,2.363375,-0.746114,1.113371,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.700000,0.637173,0.737325,2.362827,-0.737325,1.087297,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.800000,0.637620,0.728582,2.362380,-0.728582,1.061665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.900000,0.637969,0.719893,2.362031,-0.719893,1.036491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.000000,0.638226,0.711263,2.361774,-0.711263,1.011791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.100000,0.638395,0.702701,2.361605,-0.702701,0.987577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.200000,0.638479,0.694211,2.361521,-0.694211,0.963857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.300000,0.638484,0.685799,2.361516,-0.685799,0.940639,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.400000,0.638413,0.677469,2.361587,-0.677469,0.917929,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.500000,0.638270,0.669227,2.361730,-0.669227,0.895730,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.600000,0.638058,0.661076,2.361942,-0.661076,0.874043,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.700000,0.637782,0.653020,2.362218,-0.653020,0.852870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.800000,0.637445,0.645061,2.362555,-0.645061,0.832208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.900000,0.637049,0.637203,2.362951,-0.637203,0.812055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.636599,0.629447,2.363401,-0.629447,0.792407,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.100000,0.636097,0.621796,2.363903,-0.621796,0.773260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.200000,0.635546,0.614251,2.364454,-0.614251,0.754608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.300000,0.634949,0.606813,2.365051,-0.606813,0.736444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.400000,0.634309,0.599484,2.365691,-0.599484,0.718762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.500000,0.633628,0.592264,2.366372,-0.592264,0.701552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.600000,0.632909,0.585153,2.367091,-0.585153,0.684808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.700000,0.632153,0.578153,2.367847,-0.578153,0.668521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.800000,0.631365,0.571262,2.368635,-0.571262,0.652681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.900000,0.630544,0.564481,2.369456,-0.564481,0.637278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.000000,0.629694,0.557810,2.370306,-0.557810,0.622304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.100000,0.628816,0.551248,2.371184,-0.551248,0.607748,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.200000,0.627913,0.544794,2.372087,-0.544794,0.593600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.300000,0.626985,0.538447,2.373015,-0.538447,0.579851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.400000,0.626036,0.532208,2.373964,-0.532208,0.566490,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.500000,0.625065,0.526074,2.374935,-0.526074,0.553508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.600000,0.624075,0.520045,2.375925,-0.520045,0.540893,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
