# Two Dipoles. Viscous opposite moments. $\\Reyn=2$, $x(0)=3$
# Commit: 2026-08-08-4-g5e9f416
# KinematicViscosity: 0.5
# TauMode: ConstPi32 τ = 1/π^(3/2)
# Date: 2026-08-14 01:33:44
time,d1_rx,d1_mx,d2_rx,d2_mx,sum_zeta_square,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z
0.000000,0.000000,1.000000,3.000000,-1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,0.011373,1.000587,2.988627,-1.000587,2.002349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.022738,1.001192,2.977262,-1.001192,2.004770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300000,0.034095,1.001815,2.965905,-1.001815,2.007265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,0.045443,1.002456,2.954557,-1.002456,2.009837,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,0.056781,1.003117,2.943219,-1.003117,2.012488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.600000,0.068111,1.003798,2.931889,-1.003798,2.015220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700000,0.079430,1.004499,2.920570,-1.004499,2.018037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.090739,1.005221,2.909261,-1.005221,2.020939,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.900000,0.102037,1.005965,2.897963,-1.005965,2.023931,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.113324,1.006731,2.886676,-1.006731,2.027014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.100000,0.124598,1.007519,2.875402,-1.007519,2.030191,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,0.135860,1.008331,2.864140,-1.008331,2.033464,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.300000,0.147108,1.009167,2.852892,-1.009167,2.036836,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
