# Two Dipoles. Viscous opposite moments. $\\Reyn=4$, $x(0)=3$
# Commit: 2026-08-08-4-g5e9f416
# KinematicViscosity: 0.25
# TauMode: ConstPi32 τ = 1/π^(3/2)
# Date: 2026-08-14 01:33:44
time,d1_rx,d1_mx,d2_rx,d2_mx,sum_zeta_square,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z
0.000000,0.000000,1.000000,3.000000,-1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,0.011376,1.000592,2.988624,-1.000592,2.002368,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.022746,1.001202,2.977254,-1.001202,2.004811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300000,0.034107,1.001831,2.965893,-1.001831,2.007331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,0.045460,1.002480,2.954540,-1.002480,2.009931,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,0.056805,1.003149,2.943195,-1.003149,2.012615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.600000,0.068142,1.003839,2.931858,-1.003839,2.015385,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700000,0.079469,1.004551,2.920531,-1.004551,2.018244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.090787,1.005285,2.909213,-1.005285,2.021196,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.900000,0.102095,1.006043,2.897905,-1.006043,2.024244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.113393,1.006824,2.886607,-1.006824,2.027390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.100000,0.124681,1.007631,2.875319,-1.007631,2.030640,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,0.135957,1.008463,2.864043,-1.008463,2.033995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.300000,0.147222,1.009322,2.852778,-1.009322,2.037460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.400000,0.158475,1.010208,2.841525,-1.010208,2.041039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.500000,0.169715,1.011122,2.830285,-1.011122,2.044735,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.180942,1.012065,2.819058,-1.012065,2.048552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.700000,0.192155,1.013038,2.807845,-1.013038,2.052494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.800000,0.203354,1.014043,2.796646,-1.014043,2.056565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.900000,0.214537,1.015078,2.785463,-1.015078,2.060769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.225705,1.016147,2.774295,-1.016147,2.065110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.100000,0.236855,1.017249,2.763145,-1.017249,2.069592,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.200000,0.247989,1.018386,2.752011,-1.018386,2.074219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.300000,0.259103,1.019558,2.740897,-1.019558,2.078995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.400000,0.270199,1.020766,2.729801,-1.020766,2.083925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.500000,0.281274,1.022011,2.718726,-1.022011,2.089013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.600000,0.292327,1.023294,2.707673,-1.023294,2.094261,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.700000,0.303359,1.024616,2.696641,-1.024616,2.099675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.800000,0.314366,1.025977,2.685634,-1.025977,2.105257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.900000,0.325349,1.027378,2.674651,-1.027378,2.111013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.000000,0.336305,1.028821,2.663695,-1.028821,2.116944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
