# Two Dipoles. Viscous opposite moments. $\\Reyn=2e+01$, $x(0)=3$
# Commit: 2026-08-08-4-g5e9f416
# KinematicViscosity: 0.0625
# TauMode: ConstPi32 τ = 1/π^(3/2)
# Date: 2026-08-14 01:33:44
time,d1_rx,d1_mx,d2_rx,d2_mx,sum_zeta_square,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z
0.000000,0.000000,1.000000,3.000000,-1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,0.011379,1.000595,2.988621,-1.000595,2.002382,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.022751,1.001210,2.977249,-1.001210,2.004841,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300000,0.034116,1.001843,2.965884,-1.001843,2.007380,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,0.045474,1.002497,2.954526,-1.002497,2.010002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,0.056823,1.003173,2.943177,-1.003173,2.012711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.600000,0.068165,1.003870,2.931835,-1.003870,2.015509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700000,0.079498,1.004590,2.920502,-1.004590,2.018400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.090823,1.005333,2.909177,-1.005333,2.021389,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.900000,0.102139,1.006101,2.897861,-1.006101,2.024478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.113446,1.006894,2.886554,-1.006894,2.027673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.100000,0.124743,1.007714,2.875257,-1.007714,2.030976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,0.136030,1.008562,2.863970,-1.008562,2.034394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.300000,0.147308,1.009438,2.852692,-1.009438,2.037929,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.400000,0.158574,1.010343,2.841426,-1.010343,2.041587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.500000,0.169830,1.011280,2.830170,-1.011280,2.045373,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.181075,1.012248,2.818925,-1.012248,2.049291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.700000,0.192308,1.013249,2.807692,-1.013249,2.053348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.800000,0.203528,1.014285,2.796472,-1.014285,2.057549,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.900000,0.214736,1.015357,2.785264,-1.015357,2.061899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.225931,1.016466,2.774069,-1.016466,2.066405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.100000,0.237112,1.017613,2.762888,-1.017613,2.071073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
